target,train_size,train_accuracy_mean,train_accuracy_std,validation_accuracy_mean,validation_accuracy_std
intent,800,1.0,0.0,0.953,0.002669269563007825
intent,2800,1.0,0.0,0.99125,0.0006123724356957725
intent,5600,1.0,0.0,0.9963333333333333,0.0007728015412913272
intent,8000,1.0,0.0,0.9980833333333333,0.0005892556509888294
domain,800,1.0,0.0,0.99425,0.0017677669529663834
domain,2800,1.0,0.0,0.9996666666666667,0.00011785113019774494
domain,5600,1.0,0.0,0.9998333333333335,0.00023570226039548988
domain,8000,1.0,0.0,1.0,0.0
table,800,1.0,0.0,0.9775833333333334,0.005973320312485804
table,2800,1.0,0.0,0.9990833333333334,0.0005137011669140728
table,5600,1.0,0.0,0.9999166666666667,0.00011785113019774494
table,8000,1.0,0.0,0.9999166666666667,0.00011785113019774494
aggregation,522,1.0,0.0,0.9508677896886167,0.015835716943417618
aggregation,1828,1.0,0.0,0.9975752935171004,0.0006507171405810157
aggregation,3656,1.0,0.0,0.9998723838693211,0.0001804764627836906
aggregation,5224,1.0,0.0,1.0,0.0
